LDSS_ID,DO_NUM,AU_NUM,CLIENT_ID,CL_LAST_NAME,CL_FIRST_NAME,BENEFIT_BEGIN_DATE,APPLICATION_DATE,DOB,HOH_REL_CD,CL_AU_STS_DT,STREET_NUM,STREET_DTCTN_CODE,STREET_NAME,STREET1_ADDRESS,STREET_TYPE_CODE,APT_NUM,CITY,STATE,ZIPCODE,AU_BNFT_AMT,PRIM_LANG_CD,SSN,LIVING_ARRANGEMENT_TYPE_CODE,PREGNANCY_DUE_DT,INCOME_TYPE_CD,INCOME_FREQ_CD,WORK_HOURS_NUM,INCOME_AMT,UI_TYPE_CD,UI_FREQ_CD,UI_AMT,DISABILITY_TYPE_CODE,DISABILITY_START_DATE,DISABILITY_END_DATE,AU_RR_PRD_START_DT,AU_RR_PRD_END_DT,INS_STATUS_CODE,WORK_COUNTER,ABAWD_STATUS,Benefit_Status_Date,Gender
1,3212028424,98-107-8341,3563178374,Brady,Christina,20160120,20160102,19890924,SE,20170401,6321,,Westport,,Center,,Chicago,IL,60612,1926.56,English,,Married,,,,,45000,,,,,,,20170618,TRUE,FALSE,TRUE,FALSE,20170725,F
2,8147557809,06-065-0210,5262102700,Minihan,Natalie,20121020,20171101,20170624,"""SE""",20171109,3,,Dottie,,Avenue,,Honolulu,HI,96835,2066.68,Zulu,406893867,Widower,,,,,11581.1,,,,,,,20171104,TRUE,TRUE,FALSE,FALSE,20170601,
3,9052024448,86-804-4745,8984327654,Cornehl,Dionisio,20120202,20171007,20170516,"""SE""",20170603,80,,Carberry,,Alley,5427,Charlotte,NC,28256,1223.3,Dari,798129821,Single,,,,,26244.02,,,,,,,20170518,TRUE,FALSE,FALSE,FALSE,20170422,
4,5606118203,10-243-2551,9339394321,Scheffel,Theo,20120804,20170723,20171128,"""SE""",20171115,58,,Dapin,,Junction,74,Pittsburgh,PA,15255,2180.67,Icelandic,808502447,Divorced,,,,,27795.95,,,,,,,20170912,TRUE,TRUE,TRUE,TRUE,20170128,
5,6464770969,66-016-0447,1646826078,Brewis,Fredrick,20141007,20170601,20170910,"""SE""",20170526,6,,Lakewood,,Lane,,Denver,CO,80270,1495.7,Azeri,520356359,Single,,,,,43922.8,,,,,,,20170717,FALSE,FALSE,FALSE,TRUE,20170406,
6,813329167,36-795-2700,835447073,Lantry,Jan,20150125,20170503,20170804,"""SE""",20170609,6698,,Evergreen,,Hill,,Chicago,IL,60669,2744.61,Japanese,842223438,Married,,,,,66522.94,,,,,,,20171231,TRUE,FALSE,TRUE,TRUE,20170516,
7,400616920,06-254-3148,1731173431,Rozsa,Evangelin,20151018,20170604,20170130,"""SE""",20170406,8479,,Bluejay,,Pass,,Olympia,WA,98516,221.6,Quechua,234849189,Divorced,,,,,5274.87,,,,,,,20171219,TRUE,FALSE,TRUE,TRUE,20171025,
8,228443415,46-668-8525,2121874453,Alder,Astrid,20110724,20171011,20171213,"""SE""",20170413,306,,Walton,,Road,,Richmond,VA,23225,843.24,Estonian,746089011,Widow,,,,,29722.24,,,,,,,20171120,TRUE,TRUE,TRUE,FALSE,20171106,
9,6664872382,47-042-4377,6987208557,Ludovico,Selestina,20120903,20170326,20171125,"""SE""",20170508,8604,,Grasskamp,,Avenue,,Houston,TX,77040,1078.66,Bislama,306668707,Married,,,,,71690.52,,,,,,,20171118,TRUE,TRUE,FALSE,TRUE,20170120,
10,6482549055,08-983-6810,9272114446,Fann,Lacie,20160822,20170905,20170523,"""SE""",20171029,71059,,Crescent Oaks,,Road,,Newton,MA,2162,2113.66,Dzongkha,181879454,Married,,,,,,,,,,,,20170705,TRUE,FALSE,FALSE,FALSE,20171113,
11,7705229315,11-141-7433,7102162669,Sapson,Vale,20150114,20170714,20170918,"""SE""",20171106,11,,Washington,,Circle,,Saint Petersburg,FL,33742,2245.45,Zulu,756236004,Married,,,,,15661.34,,,,,,,20170421,TRUE,FALSE,FALSE,TRUE,20170129,
12,7214672235,53-754-9210,4767563321,Woodfin,Staford,20120707,20170714,20171006,"""SE""",20170930,9,,Larry,,Hill,,Norwalk,CT,6859,1310.73,Catalan,787809910,Widower,20180207,,,,52386.85,,,,,,,20170627,FALSE,TRUE,TRUE,TRUE,20170228,
13,2773327853,52-689-4920,5019564540,Netherclift,Isidor,20110613,20170721,20171019,"""SE""",20171022,2,,Helena,,Pass,,Austin,TX,78703,2717.26,Korean,583011207,Single,,,,,75323.49,,,,,,,20170630,FALSE,TRUE,TRUE,TRUE,20170928,
14,7980664035,81-173-6388,7143690066,Wicklen,Wake,20150109,20171216,20170702,"""SE""",20171002,40212,,Crescent Oaks,,Alley,,Norcross,GA,30092,2604.28,Italian,879642906,Widower,,,,,66140.91,,,,,,,20170624,TRUE,FALSE,TRUE,FALSE,20170623,
15,9535541579,03-787-1054,4714230522,Howels,Ferris,20120605,20171223,20171102,"""SE""",20170404,3,,Blue Bill Park,,Court,,San Jose,CA,95123,3139.1,Amharic,481365672,Widower,,,,,33579.93,,,,,,,20171207,FALSE,TRUE,TRUE,FALSE,20170419,
16,984710795,47-448-5160,1052444431,Selby,Buckie,20120529,20170414,20170710,"""SE""",20170318,27394,,Bobwhite,,Pass,,Houston,TX,77271,,Malayalam,433871420,Married,,,,,5387.72,,,,,,,20171125,TRUE,FALSE,TRUE,TRUE,20170608,
17,9666296098,09-167-7344,4992437001,Cord,Janot,20130730,20170606,20170211,"""SE""",20170803,9,,Tennessee,,Parkway,6,Dallas,TX,75231,238.53,Dutch,106024791,Divorced,,,,,62089.51,,,,,,,20170303,FALSE,FALSE,TRUE,FALSE,20170125,
18,312907273,14-425-7327,6852804569,Jellico,Jody,20120521,20170411,20170912,"""SE""",20170320,56,,Spaight,,Parkway,,Omaha,NE,68124,920.48,Sotho,364190229,Widower,,,,,61594.71,,,,,,,20180101,FALSE,FALSE,FALSE,FALSE,20170607,
19,2112897470,25-469-6338,9730091781,Bellelli,Adiana,20120201,20180118,20170225,"""SE""",20170506,196,,Mcguire,,Parkway,,Milwaukee,WI,53285,2447.76,Korean,867404517,Divorced,,,,,22247.88,,,,,,,20170903,FALSE,FALSE,FALSE,TRUE,20171212,
20,2289485543,59-576-2555,7919025427,Lardiner,Annabel,20160618,20171007,20170316,"""SE""",20170822,29936,,Superior,,Crossing,16,Charlotte,NC,28220,1573.81,Yiddish,584027960,Widower,,,,,40795.96,,,,,,,20170312,TRUE,TRUE,FALSE,FALSE,20170814,
21,8752969355,29-384-4741,7343207563,Rieflin,Francois,20170802,20170123,20170504,"""SE""",20170823,712,,Randy,,Park,58894,Houston,TX,77218,1032.03,Belarusian,456399292,Widow,,,,,40913.82,,,,,,,20170831,TRUE,TRUE,FALSE,FALSE,20170429,
22,9933370596,56-134-9712,8125110704,Nicholas,Byran,20161204,20170208,20170808,"""SE""",20170701,4028,,Anzinger,,Drive,0,Toledo,OH,43635,1093.55,New Zealand Sign Language,263569340,Married,,,,,31987.32,,,,,,,20170508,FALSE,FALSE,TRUE,TRUE,20171114,
23,2623848343,62-006-5418,358491533,Guerriero,Ailey,20160306,20170811,20171130,"""SE""",20170409,22,,Carpenter,,Trail,999,Round Rock,TX,78682,2977.48,Hindi,799188570,Widow,,,,,34016.17,,,,,,,20170807,FALSE,FALSE,FALSE,FALSE,20170919,
24,636292061,90-957-2050,967343410,Ranvoise,Madelena,20170123,20170224,20171027,"""SE""",20170917,19,,Esker,,Drive,506,Richmond,VA,23228,118.72,Hungarian,237597817,Widow,,,,,35414.05,,,,,,,20170831,TRUE,FALSE,FALSE,FALSE,20170824,
25,9381251053,77-463-2048,4603369557,Cosham,Elane,20120429,20170726,20170916,"""SE""",20170623,2571,,South,,Center,,Minneapolis,MN,55423,3461.69,Dhivehi,123505202,Divorced,,,,,69117.45,,,,,,,20170318,FALSE,FALSE,TRUE,FALSE,20171201,
