LDSS_ID,DO_NUM,AU_NUM,CLIENT_ID,CL_LAST_NAME,CL_FIRST_NAME,BENEFIT_BEGIN_DATE,APPLICATION_DATE,DOB,HOH_REL_CD,CL_AU_STS_DT,STREET_NUM,STREET_DTCTN_CODE,STREET_NAME,STREET1_ADDRESS,STREET_TYPE_CODE,APT_NUM,CITY,STATE,ZIPCODE,AU_BNFT_AMT,PRIM_LANG_CD,SSN,LIVING_ARRANGEMENT_TYPE_CODE,PREGNANCY_DUE_DT,INCOME_TYPE_CD,INCOME_FREQ_CD,WORK_HOURS_NUM,INCOME_AMT,UI_TYPE_CD,UI_FREQ_CD,UI_AMT,DISABILITY_TYPE_CODE,DISABILITY_START_DATE,DISABILITY_END_DATE,AU_RR_PRD_START_DT,AU_RR_PRD_END_DT,INS_STATUS_CODE,WORK_COUNTER,ABAWD_STATUS,Benefit_Status_Date,GENDER
1,3212028424,98-107-8341,3564578374,Brady,Chrissy,20150328,20171109,19890924,SE,20170401,6321,,Westport,,Center,43742,Chicago,IL,60612,3151.37,English,,Married,,,,,29854.47,,,,,,,20170618,TRUE,FALSE,TRUE,FALSE,20170725,F
2,1756770859,49-557-1237,6986792174,Jones,Lindsey,20110406,20170210,19801001,SE,20170616,72980,,Londonderry,,Drive,,Springfield,OH,45505,4364.83,English,393225353,Married,,,,,,,,,,,,20171112,FALSE,TRUE,TRUE,FALSE,20171118,F
3,7658660930,22-965-0293,3183321068,MacCrosson,Shaylynn,20160416,20170313,20170405,SE,20171228,8738,,Wayridge,,Road,775,Dulles,VA,20189,4078.24,Danish,522922560,Single,,,,,28995.5,,,,,,,20171203,FALSE,FALSE,TRUE,FALSE,20170123,F
5,4649723213,24-311-7799,6616180646,Matijasevic,Marja,20170720,20170603,20171125,SE,20170224,377,,Westport,,Drive,9,Fresno,CA,93740,4961.04,Latvian,848630479,Widower,,,,,,,,,,,,20171212,TRUE,FALSE,TRUE,FALSE,20171213,F
4,8234115588,44-334-8256,9561688425,Ciccotti,Philbert,20120509,20171127,20171107,SE,20170215,5466,,Lunder,,Parkway,6837,Cincinnati,OH,45203,3649.01,Azeri,548418220,Widow,20180404,,,,55943.32,,,,,,,20170929,TRUE,FALSE,FALSE,TRUE,20170527,F
6,6027749784,44-068-2160,4168662241,Pinney,Ab,20120617,20170304,20170813,SE,20170714,6,,Northport,,Plaza,3,Washington,DC,20041,4291.77,Thai,472626361,Married,,,,,,,,,,,,20170612,TRUE,FALSE,TRUE,FALSE,20170203,F
7,7197802687,48-252-8932,5931730729,Weond,Dorree,20171007,20170528,20170525,SE,20171224,72980,,Londonderry,,Drive,,Springfield,OH,45505,1265.29,Portuguese,304289415,Divorced,,,,,,,,,,,,20170430,TRUE,FALSE,FALSE,TRUE,20170503,F
1044,,,1044,Pollak,Billy,20050614,20171205,19900329,SE,20171017,22,,Forest Run,,Avenue,93118,Baltimore,MD,21216,1847,Lao,386502282,,20170803,,,,,,,,,,,,,,,,,
1046,1027213383,26-640-1569,1046,Curnucke,Lily,20041211,20170307,19820131,SE,20170529,6880,,Tenmile,,Road,,Bedford,MA,1730,3000.22,Hebrew,635163614,Single,20041225,,,,,,,,,,,,,,,,,
10,330314181,14-843-2513,4606506008,Eslinger,Meaghan,20130321,20170628,20170827,SE,20170821,1002,,Quincy,,Park,59660,Toledo,OH,43666,1642.62,Czech,616072224,Married,,,,,52251.29,,,,,,,20171028,TRUE,FALSE,FALSE,TRUE,20170406,M
