LDSS_ID,DO_NUM,AU_NUM,CLIENT_ID,CL_LAST_NAME,CL_FIRST_NAME,BENEFIT_BEGIN_DATE,APPLICATION_DATE,DOB,HOH_REL_CD,CL_AU_STS_DT,STREET_NUM,STREET_DTCTN_CODE,STREET_NAME,STREET1_ADDRESS,STREET_TYPE_CODE,APT_NUM,CITY,STATE,ZIPCODE,AU_BNFT_AMT,PRIM_LANG_CD,SSN,LIVING_ARRANGEMENT_TYPE_CODE,PREGNANCY_DUE_DT,INCOME_TYPE_CD,INCOME_FREQ_CD,WORK_HOURS_NUM,INCOME_AMT,UI_TYPE_CD,UI_FREQ_CD,UI_AMT,DISABILITY_TYPE_CODE,DISABILITY_START_DATE,DISABILITY_END_DATE,AU_RR_PRD_START_DT,AU_RR_PRD_END_DT,INS_STATUS_CODE,WORK_COUNTER,ABAWD_STATUS,Benefit_Status_Date,Gender
1,3212028424,98-107-8341,6161276214,Smith,Chrissy,20150328,20171109,19890924,SE,20170401,6321,,Westport,,Center,43742,Chicago,IL,60612,1926.56,English,533672155,Single,,,,,29854.47,,,,,,,20170618,TRUE,FALSE,TRUE,FALSE,20170725,F
2,3490748867,24-103-4550,7439066367,Cashford,Chris,20120221,20170726,20170816,SE,20170415,6323,,Mendota,,Park,42956,Naples,FL,34108,2754.98,Northern Sotho,220851128,Divorced,,,,,44527.82,,,,,,,20170311,TRUE,FALSE,FALSE,FALSE,20171111,M
3,6079368897,73-381-3167,1890514858,Cardenosa,Truman,20151014,20180114,20170711,SE,20170212,1,,Birchwood,,Point,87235,Washington,DC,20099,2760.62,Luxembourgish,661574815,Married,,,,,74417.16,,,,,,,20170207,TRUE,TRUE,TRUE,FALSE,20171010,M
8,3699524655,24-623-8103,3167991399,Pollak,William,20121011,20171205,19800329,SE,20171017,22,,Forest Run,,Avenue,93118,Baltimore,MD,21216,2504.87,Lao,386502282,Widower,20141023,,,,4332,,,,R,,,20171113,TRUE,TRUE,FALSE,FALSE,20171012,M
5,1756770859,49-557-1237,6270654339,Jones,Lindsey,20110406,20170210,19801001,SE,20170616,45,,Jana,,Parkway,5827,Scranton,PA,18505,1287.9,English,393225353,Married,,,,,,,,,,,,20171112,FALSE,TRUE,TRUE,FALSE,20171118,F
9,1027213383,26-640-1569,1809841142,Curnucke,Lillian,20161126,20170307,19820131,SE,20170529,2976,,Mcguire,,Road,533,Washington,DC,20442,2679.54,Hebrew,635163614,Single,20170704,,,,1120,,,,,,,20171118,TRUE,FALSE,FALSE,TRUE,20171210,F
7,2061201911,24-528-1352,2494501868,Pach,Alain,20120424,20180115,20170825,SE,20170429,618,,Elmside,,Drive,41981,Lexington,KY,40505,3109.12,Northern Sotho,594280221,Widow,,,,,69344.08,,,,,,,20170222,TRUE,FALSE,TRUE,TRUE,20170706,F
4,6193096620,03-332-6972,5346756037,Stammer,Lindsey,20161124,20170809,19801001,SE,20171013,4617,,Farmco,,Drive,257,Sacramento,CA,95865,1313.51,English,393225353,Single,,,,,52890.18,,,,,,,20170527,TRUE,TRUE,FALSE,FALSE,20171011,F
6,5030483799,71-598-8374,4871575627,Noseworthy,Doti,20160410,20170713,20170930,SE,20171109,513,,Montana,,Parkway,52852,Spokane,WA,99205,2027.41,Hiri Motu,815794756,Widower,,,,,29023.01,,,,,,,20170417,TRUE,TRUE,FALSE,TRUE,20170124,F
10,5126935550,13-766-5653,6533569843,Cawley,Donella,20170311,20170604,20170306,SE,20170621,181,,Bonner,,Hill,,Daytona Beach,FL,32123,2038.66,Czech,776353739,Widower,,,,,77477.35,,,,,,,20170216,FALSE,FALSE,TRUE,FALSE,20170603,F
